,comment
61,"['currentthreadscheduler', 'memory', 'leak', 'fixedmimeversion', '10contenttype', 'textplain', 'charsetutf8contenttransferencoding', '8bit', 'currentimmediatenewthreadexecutor', 'schedulers', 'passing', 'unit', 'tests', 'currentnewthreadexecutor', 'schedulers', 'leak', 'memory', 'recursion', 'test', 'immediate', 'used', 'recursion', 'otherwise', 'stack', 'overflows']"
62,"['refactoring', 'consistent', 'implementation', 'approachcombined', 'observableextensions', 'observable', 'match', 'rx', 'works', 'observable', 'methods']"
63,"['performance', 'refactoring', 'operatorsubscribefunction', 'migrated', 'func1', 'operatorsubscribefunction', 'internal', 'operator', 'implementations', 'wrap', 'atomicobserver', 'trusted', 'operatorhttpsgithubcomnetflixrxjavaissues104']"
64,"['javadoc', 'interlinkings', 'javadoc', 'improvements']"
65,"['use', 'java', 'subjectt', 'r', 'contravariant', 'covariant', 'r']"
66,"['prevent', 'direct', 'instantiation', 'blockingobservable', 'via', 'noarg', 'constructor', 'also', 'questioning', 'allow', 'extending', 'would', 'like', 'make', 'private', 'constructor']"
67,"['groupby', 'groupedobservables', 'resubscribe', 'parent', 'sequencehttpsgithubcomnetflixrxjavaissues282refactored', 'maintain', 'single', 'subscription', 'propagates', 'events', 'correct', 'child', 'groupedobservables']"
68,"['handle', 'concurrent', 'unsubscription', 'drain', 'avoid', 'npe']"
69,"['tidying', 'abstractonsubscribe', 'javadocs']"
70,"['fix', 'termination', 'race', 'condition', 'operatorpublishdispatch']"
71,"['unlock', 'finally', 'block']"
72,"['incorporate', 'review', 'suggestions', 'changes', 'finally0', 'finallydo', 'removes', 'unnecessary', 'subscriptionwrapping', 'handle', 'exceptions', 'oncompletedonerror']"
73,"['per', 'suggestions', 'added', 'single', 'static', 'instance', 'executorservice', 'delayed', 'posting', 'introduced', 'schedulediosaction', 'enable', 'compositesubscription']"
74,"['refactor', 'test', 'use', 'countdownlatch', 'instead', 'threadsleep']"
75,"['add', 'doonsubscribe', 'single']"
76,"['beef', 'unsubscribetester']"
77,"['fixed', 'issue', '799', 'added', 'break', 'possiblyinfinite', 'loop', 'compositeexceptionattachcallingthreadstack']"
78,"['fix', 'initialization', 'completablecomplete', '4146']"
79,"['1x', 'concatmapeager', 'allow', 'nulls', 'inner', 'observables']"
80,"['implement', 'scheduler', 'method', 'duetime', 'added', 'method', 'schedulet', 'state', 'func2scheduler', 'subscription', 'action', 'date', 'duetime']"
81,"['fix', 'nondeterministic', 'unit', 'test']"
82,"['fix', 'autoconnect', 'calling', 'onstart', 'twice']"
83,"['1x', 'expose', 'singlelift']"
84,"['implemented', 'range', 'operator']"
85,"['observeonsubscribeon', 'unit', 'tests']"
86,"['groupby', 'test', 'improvementobserveon', 'wrong', 'mechanism', 'delaying', 'behavior', 'relying', 'buffering', 'observeonnow', 'using', 'delay', 'delay', 'group', 'since', 'observeon', 'longer', 'buffers']"
87,"['fixed', 'javadoc', 'comments', 'cleaned', 'bit', 'tried', 'fix', 'synchronization']"
88,"['add', 'finally0', 'observablejava']"
89,"['add', 'takeuntil', 'support', 'single']"
90,"['observeon', 'subscribeon', 'concurrency', 'unit', 'tests', 'rudimentary', 'may', 'determinism', 'problem', 'due', 'threadsleep']"
91,"['avoiding', 'synchronization', 'combinelatest']"
92,"['fixed', 'bug', 'test', 'scheduler', 'happened', 'advancing', 'time', 'little', 'amount']"
93,"['nonblocking', 'implementation', 'scheduledobserver']"
94,"['conditionals', 'fix', '2', 'tests']"
95,"['conditionals', 'fix', '2', 'tests']"
96,"['fix', 'back', 'pressure', 'alternate', 'subscription']"
97,"['add', 'error', 'handling', 'onnext', 'failure', 'exceptions', 'dont', 'get', 'thrown', 'stack', 'instead', 'via', 'onerror']"
98,"['add', 'singlefromcallable']"
99,"['remove', 'warnings', 'cleanup']"
100,"['hbase2513', 'hbase2414', 'added', 'bug', 'wed', 'tightloop', 'root', 'availablegitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk941546', '13f7953547bb03109956ffa450edef68']"
101,"['hbase4606', 'remove', 'spam', 'hcm', 'fix', 'listsize', '0gitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1185326', '13f7953547bb03109956ffa450edef68']"
102,"['hbase11813', 'cellscanneradvance', 'may', 'overflow', 'stack']"
103,"['hbase11671', 'testendtoendsplittransaction', 'fails', 'master', 'mikhail', 'antonov']"
104,"['hbase10010', 'eliminate', 'put', 'latency', 'spike', 'new', 'log', 'file', 'beginninggitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1549384', '13f7953547bb03109956ffa450edef68']"
105,"['hbase7579', 'htabledescriptor', 'equals', 'method', 'fails', 'results', 'returned', 'different', 'order', 'revert', 'overcommittedgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1471053', '13f7953547bb03109956ffa450edef68']"
106,"['hbase9366', 'testhtracehookstesttracecreatetable', 'errors', 'sometimesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1523816', '13f7953547bb03109956ffa450edef68']"
107,"['hbase3746', 'clean', 'compressiontest', 'directly', 'reference', 'distributedfilesystemgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1089684', '13f7953547bb03109956ffa450edef68']"
108,"['hbase5857', 'rit', 'map', 'rs', 'getting', 'cleared', 'region', 'openinggitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1329470', '13f7953547bb03109956ffa450edef68']"
109,"['hbase13958', 'restapiclustermanager', 'calls', 'kill', 'instead', 'suspend', 'resume']"
110,"['hbase5549', 'hbase5572', 'master', 'fail', 'zookeeper', 'session', 'expires', 'n', 'keywalgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1301775', '13f7953547bb03109956ffa450edef68']"
111,"['hbase14807', 'testwallockup', 'flakey']"
112,"['hbase2040', 'fixes', 'group', 'commitgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk889775', '13f7953547bb03109956ffa450edef68']"
113,"['hadoop1424', 'testhbasecluster', 'fails', 'illegalmonitorstateexception', 'fix', 'regression', 'introduced', 'hadoop1397gitsvnid', 'httpssvnapacheorgreposasflucenehadooptrunksrccontribhbase541095', '13f7953547bb03109956ffa450edef68']"
114,"['hbase2806', 'dns', 'hiccups', 'cause', 'uncaught', 'npe', 'hserveraddressgetbindaddressgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk960650', '13f7953547bb03109956ffa450edef68']"
115,"['hbase1192', 'lrustyle', 'map', 'block', 'cachegitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk780527', '13f7953547bb03109956ffa450edef68']"
116,"['hbase1647', 'filterfilterrow', 'called', 'often', 'filters', 'rows', 'shouldnt', 'reversed', 'moment', 'may', 'broken', 'things', 'sure', 'yetgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk798510', '13f7953547bb03109956ffa450edef68']"
117,"['hbase3070', 'add', 'hbaseadmin', 'means', 'shutting', 'regionservergitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1003702', '13f7953547bb03109956ffa450edef68']"
118,"['hbase2397', 'bytestostringbinary', 'escapes', 'printable', 'charsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk951840', '13f7953547bb03109956ffa450edef68']"
119,"['hbase1447', 'take', 'last', 'version', 'hbase1249', 'design', 'doc', 'make', 'documentation', 'itgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk785081', '13f7953547bb03109956ffa450edef68']"
120,"['hbase3313', 'table', 'name', 'isnt', 'checked', 'istableenabledistabledisabledgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1081431', '13f7953547bb03109956ffa450edef68']"
121,"['hbase10194', 'usability', 'instructions', 'compactiontool', 'longer', 'accurate', 'namespacesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1552229', '13f7953547bb03109956ffa450edef68']"
122,"['hbase6427', 'pluggable', 'compaction', 'scan', 'policies', 'via', 'coprocessorsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1367361', '13f7953547bb03109956ffa450edef68']"
123,"['hbase2787', 'pe', 'confused', 'flushcommitsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk957750', '13f7953547bb03109956ffa450edef68']"
124,"['hbase10606', 'bad', 'timeout', 'rpcretryingcallercallwithretries', 'wo', 'parametersgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1572124', '13f7953547bb03109956ffa450edef68']"
125,"['hbase7703', 'eventually', 'online', 'snapshots', 'fail', 'due', 'timeout', 'regionserveronline', 'snapshot', 'attempts', 'would', 'fail', 'due', 'timeout', 'rowlock', 'could', 'obtained', 'prior', 'acancellation', 'occurred', 'likely', 'grabbed', 'lock', 'without', 'cleaning', 'properly', 'fix', 'use', 'nice', 'cancelinstead', 'interrupting', 'cancel', 'failuresgitsvnid', 'httpssvnapacheorgreposasfhbasebrancheshbase72901445866', '13f7953547bb03109956ffa450edef68']"
126,"['hbase11920', 'add', 'cp', 'hooks', 'replicationendpoint']"
127,"['hbase8383', 'support', 'libjar', 'inside', 'coprocessor', 'jargitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1471754', '13f7953547bb03109956ffa450edef68']"
128,"['hbase10066', 'use', 'bytearrayoutputstreamwriteto', 'appropriategitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1547294', '13f7953547bb03109956ffa450edef68']"
129,"['hbase6667', 'testcatalogjanitor', 'occasionally', 'fails', 'patch', 'adds', 'debug', 'around', 'failing', 'testgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1379682', '13f7953547bb03109956ffa450edef68']"
130,"['hbase6529', 'hfile', 'v2', 'region', 'server', 'always', 'perform', 'extra', 'copy', 'source', 'filesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1372313', '13f7953547bb03109956ffa450edef68']"
131,"['hbase1404', 'minor', 'edit', 'regionserver', 'logging', 'messagesgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk773627', '13f7953547bb03109956ffa450edef68']"
132,"['hbase9227', 'restserver', 'handle', 'loginuser', 'correctlygitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1514440', '13f7953547bb03109956ffa450edef68']"
133,"['hbase1869', 'indexedtable', 'delete', 'fails', 'used', 'conjunction', 'rowlockgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk819060', '13f7953547bb03109956ffa450edef68']"
134,"['hbase11558', 'caching', 'set', 'scan', 'object', 'gets', 'lost', 'using', 'tablemapreduceutil', '095', 'ishan', 'chhabra']"
135,"['hbase1938', 'make', 'inmemory', 'table', 'scanning', 'faster', 'reverted', '201107261938memstorepatch', 'till', 'figure', 'seems', 'slow', 'testsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1151653', '13f7953547bb03109956ffa450edef68']"
136,"['hbase11865', 'result', 'implements', 'cellscannable', 'rather', 'cellscanner']"
137,"['hbase6400', 'add', 'getmasteradmin', 'getmastermonitor', 'hconnection', 'enisgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1363009', '13f7953547bb03109956ffa450edef68']"
138,"['hbase2156', 'hbase2037', 'broke', 'scangitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk902213', '13f7953547bb03109956ffa450edef68']"
139,"['hbase10686', 'windows', 'teststripestorefilemanager', 'fails', 'windowsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1575011', '13f7953547bb03109956ffa450edef68']"
140,"['hbase2781', 'zkwcreateunassignedregion', 'doesnt', 'make', 'sure', 'existing', 'znode', 'right', 'state', 'karthik', 'ranganathan', 'via', 'jdgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk963910', '13f7953547bb03109956ffa450edef68']"
141,"['hbase10556', 'possible', 'data', 'loss', 'due', 'nonhandled', 'droppedsnapshotexception', 'usertriggered', 'flush', 'clientshellgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1571501', '13f7953547bb03109956ffa450edef68']"
142,"['hbase3387', 'pair', 'deep', 'check', 'arrays', 'equalitygitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1053484', '13f7953547bb03109956ffa450edef68']"
143,"['hbase8355', 'baseregionobserverprecompactflushstorescanneropen', 'returns', 'null', 'andrew', 'purtell', 'jesse', 'yatesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1483094', '13f7953547bb03109956ffa450edef68']"
144,"['hbase8062', 'replace', 'hbasefsckdebuglsr', 'testflushsnapshotfromclient', 'fsutilslogfilesystemstategitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1463646', '13f7953547bb03109956ffa450edef68']"
145,"['hbase12731', 'heap', 'occupancy', 'based', 'client', 'pushback']"
146,"['hbase2889', 'tool', 'look', 'hlogs', 'parse', 'tail', 'f', 'added', 'part', '1', 'fixup', 'hlog', 'maingitsvnid', 'httpssvnapacheorgreposasfhbasetrunk995222', '13f7953547bb03109956ffa450edef68']"
147,"['hbase12137', 'alter', 'table', 'add', 'cf', 'doesnt', 'compression', 'test', 'virag', 'kothari']"
148,"['hadoop2308', 'null', 'regioninfo', 'breaks', 'meta', 'scannergitsvnid', 'httpssvnapacheorgreposasflucenehadooptrunksrccontribhbase599875', '13f7953547bb03109956ffa450edef68']"
149,"['hbase8287', 'testregionmergetransactiononcluster', 'failed', 'trunk', 'build', '4010gitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1465528', '13f7953547bb03109956ffa450edef68']"
150,"['hbase2365', 'doubleassignment', 'around', 'splitgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk929856', '13f7953547bb03109956ffa450edef68']"
151,"['hbase9369', 'add', 'support', '1', '2byte', 'integers', 'orderedbytes', 'provide', 'types', 'lianglianggitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1524297', '13f7953547bb03109956ffa450edef68']"
152,"['fixing', 'broken', 'build', 'forgot', 'add', 'jvmclusterutil', 'etcgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk939848', '13f7953547bb03109956ffa450edef68']"
153,"['hbase8703', 'windows', 'timedout', 'processes', 'exit', 'nonzero', 'code', 'causing', 'healthchecker', 'report', 'incorrectly', 'addendum', 'patch', 'fix', 'flaky', 'testgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1499047', '13f7953547bb03109956ffa450edef68']"
154,"['hbase4861', 'fix', 'misspells', 'extraneous', 'characters', 'logs', 'set', 'tracegitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1205732', '13f7953547bb03109956ffa450edef68']"
155,"['hbase4169', 'fsutils', 'leaserecovery', 'non', 'hdfs', 'filesystems', 'added', '4169correctiontxt', 'correctiongitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1155441', '13f7953547bb03109956ffa450edef68']"
156,"['hbase10449', 'wrong', 'execution', 'pool', 'configuration', 'hconnectionmanagergitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1563878', '13f7953547bb03109956ffa450edef68']"
157,"['hbase6170', 'timeouts', 'row', 'lock', 'scan', 'separate', 'chris', 'trezzogitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1354325', '13f7953547bb03109956ffa450edef68']"
158,"['jira', 'hbase5074', 'support', 'checksums', 'hbase', 'block', 'cacheauthor', 'dhrubasummaryhfile', 'enhanced', 'store', 'checksum', 'block', 'hdfs', 'checksum', 'verificationis', 'avoided', 'reading', 'data', 'block', 'cache', 'checksum', 'verificationfailure', 'retry', 'file', 'system', 'read', 'request', 'hdfs', 'checksums', 'switched', 'onthanks', 'toddi', 'benchmark', 'shows', 'reduces', 'iops', 'disk', '40', 'inthis', 'experiment', 'entire', 'memory', 'regionserver', 'allocated', 'theregionservers', 'jvm', 'os', 'buffer', 'cache', 'size', 'negligible', 'also', 'measurednegligible', '5', 'additional', 'cpu', 'usage', 'using', 'hbaselevel', 'checksumsthe', 'salient', 'points', 'patch1', 'hfiles', 'trailer', 'used', '4', 'byte', 'version', 'number', 'enhanced', 'sothat', '4', 'bytes', 'interpreted', 'major', 'version', 'number', 'minorversion', 'preexisting', 'hfiles', 'minor', 'version', '0', 'new', 'hfile', 'formathas', 'minor', 'version', '1', 'thanks', 'mikhail', 'hfile', 'major', 'version', 'remainsunchanged', '2', 'reason', 'introduce', 'new', 'major', 'version', 'number', 'isbecause', 'code', 'changes', 'needed', 'storeread', 'checksums', 'differ', 'much', 'fromexisting', 'v2', 'writersreaders2', 'introduced', 'hfilesystem', 'object', 'encapsulates', 'filesystemobjects', 'needed', 'access', 'data', 'hfiles', 'hlogs', 'hdfs', 'filesystem', 'objectsalready', 'ability', 'switch', 'checksum', 'verifications', 'reads3', 'majority', 'code', 'changes', 'located', 'hbaseiohfie', 'package', 'theretry', 'read', 'initial', 'checksum', 'failure', 'occurs', 'inside', 'hbaseiohfilepackage', 'code', 'changes', 'hbaseregionserver', 'package', 'minor4', 'format', 'hfileblock', 'header', 'followed', 'data', 'followed', 'thechecksums', '16', 'k', 'configurable', 'size', 'data', '4', 'byte', 'checksum', 'thehfileblock', 'header', 'two', 'additional', 'fields', '4', 'byte', 'value', 'store', 'thebytesperchecksum', '4', 'byte', 'value', 'store', 'size', 'user', 'dataexcluding', 'checksum', 'data', 'well', 'explained', 'associatedjavadocs5', 'added', 'test', 'test', 'backward', 'compatibility', 'writing', 'unittests', 'triggers', 'checksum', 'verification', 'failures', 'aggressively', 'left', 'afew', 'redundant', 'log', 'messages', 'code', 'easier', 'debugging', 'willremove', 'later', 'stage', 'patch', 'also', 'adding', 'metrics', 'onnumber', 'checksum', 'verification', 'failuressuccess', 'later', 'version', 'thisdiff6', 'default', 'hbaselevel', 'checksums', 'switched', 'hdfs', 'level', 'checksumsare', 'switched', 'hfilereads', 'changes', 'hlog', 'code', 'path', 'heretest', 'plan', 'default', 'setting', 'switch', 'hbase', 'checksums', 'hfilereadsthus', 'existing', 'tests', 'actually', 'validate', 'new', 'code', 'pieces', 'writingmore', 'unit', 'tests', 'triggering', 'checksum', 'verification', 'failuresreviewers', 'mbautinreviewed', 'mbautincc', 'jira', 'tedyu', 'mbautin', 'dhruba', 'todd', 'stackdifferential', 'revision', 'httpsreviewsfacebooknetd1521gitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1298641', '13f7953547bb03109956ffa450edef68']"
159,"['hbase563', 'testrowfilterafterwrite', 'erroneously', 'sets', 'master', 'address', '000060100', 'rather', 'relying', 'confgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk644948', '13f7953547bb03109956ffa450edef68']"
160,"['hbase8033', 'break', 'testrestoresnapshotfromclient', 'testrestoresnapshotfromclient', 'testclonesnapshotfromclient', 'ted', 'yugitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1454186', '13f7953547bb03109956ffa450edef68']"
161,"['hbase8351', 'minor', 'typo', 'bytes', 'illegalargumentexception', 'throw', 'raymond', 'liugitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1468291', '13f7953547bb03109956ffa450edef68']"
162,"['hbase9287', 'testcatalogtracker', 'depends', 'execution', 'ordergitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1516292', '13f7953547bb03109956ffa450edef68']"
163,"['hbase4131', 'make', 'replication', 'service', 'pluggable', 'via', 'standard', 'interface', 'definitiongitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1174963', '13f7953547bb03109956ffa450edef68']"
164,"['hbase12366', 'add', 'login', 'code', 'hbase', 'canary', 'tool', 'srikanth', 'srungarapu']"
165,"['hbase3017', 'log', 'pruningm', 'conflog4jproperties', 'make', 'zkw', 'log', 'infolevelm', 'srcmainjavaorgapachehadoophbasemasterassignmentmanagerjava', 'log', 'message', 'cleanupm', 'srcmainjavaorgapachehadoophbasemasterhmasterjava', 'remove', 'excessive', 'hostnameport', 'qualifier', 'master', 'zk', 'messagesm', 'srcmainjavaorgapachehadoophbasemastermasterfilesystemjava', 'log', 'message', 'cleanupm', 'srcmainjavaorgapachehadoophbasemasterservermanagerjava', 'format', 'servermonitor', 'messagem', 'srcmainjavaorgapachehadoophbaseregionserverhregionserverjava', 'remove', 'excessive', 'hostname', 'zk', 'message', 'id', 'add', 'portm', 'srcmainjavaorgapachehadoophbasezookeeperzkassignjava', 'cleanup', 'messagesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk999057', '13f7953547bb03109956ffa450edef68']"
166,"['hbase7923', 'force', 'unassign', 'confirm', 'region', 'online', 'rs', 'get', 'rid', 'double', 'assignmentsgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1464232', '13f7953547bb03109956ffa450edef68']"
167,"['hbase11499', 'asyncprocessbuilddetailederrormessage', 'concatenates', 'strings', 'using', 'loop', 'mike', 'drob']"
168,"['hbase9600', 'testcolumnschemamodel', 'testtableschemamodel', 'test', 'cases', 'failing', 'ibm', 'ibm', 'java', '6gitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1525179', '13f7953547bb03109956ffa450edef68']"
169,"['hbase1200', 'add', 'bloomfiltersgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk946464', '13f7953547bb03109956ffa450edef68']"
170,"['hbase11248keyonlykeyvaluetostring', 'passes', 'wrong', 'offset', 'keytostring', 'ram']"
171,"['hbase5259', 'normalize', 'regionlocation', 'tableinputformat', 'reverse', 'dns', 'lookup', 'liyin', 'tanggitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1238774', '13f7953547bb03109956ffa450edef68']"
172,"['hbase1816', 'master', 'rewrite', 'removed', 'safemode', 'regionserverside', 'needed', 'remove', 'wait', 'top', 'flush', 'compactions', 'threads', 'used', 'wait', 'safe', 'mode', 'stuck', 'theregitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk830844', '13f7953547bb03109956ffa450edef68']"
173,"['hbase2124', 'useless', 'exception', 'hmaster', 'startupgitsvnid', 'httpssvnapacheorgreposasfhadoophbasetrunk899441', '13f7953547bb03109956ffa450edef68']"
174,"['hbase8299', 'exploringcompactionpolicy', 'get', 'stuck', 'rare', 'casesgitsvnid', 'httpssvnapacheorgreposasfhbasetrunk1475966', '13f7953547bb03109956ffa450edef68']"
